name,slug,city,state,type,established_year,nirf_rank,nirf_category,naac_grade,rating,total_ratings,min_fees,max_fees,placement_percent,avg_package,highest_package,top_recruiters,courses_offered,website,ugc_approved,about,source
Dehradun Institute of Medical 155,dehradun-institute-of-medical-155,Dehradun,Uttarakhand,PRIVATE,1959,174,Medical,A+,4.6,2215,277454,413875,93.2,5.5,12.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.dehradun-institute-of-medical-155.edu.in,True,"Dehradun Institute of Medical 155 is a premier private institution located in Dehradun, Uttarakhand. Established in 1959, it is highly ranked in Medical.",kaggle_fallback
State University Bhopal 156,state-university-bhopal-156,Bhopal,Madhya Pradesh,DEEMED,1968,193,Medical,B++,4.5,2004,246689,357815,88.9,12.5,40.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-bhopal-156.edu.in,True,"State University Bhopal 156 is a premier deemed institution located in Bhopal, Madhya Pradesh. Established in 1968, it is highly ranked in Medical.",kaggle_fallback
State University Pune 157,state-university-pune-157,Pune,Maharashtra,GOVERNMENT,2008,94,Arts,B++,4.4,1290,250913,347088,82.6,14.6,27.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Arts|MBA|B.Sc,https://www.state-university-pune-157.edu.in,True,"State University Pune 157 is a premier government institution located in Pune, Maharashtra. Established in 2008, it is highly ranked in Arts.",kaggle_fallback
State University Nagpur 158,state-university-nagpur-158,Nagpur,Maharashtra,GOVERNMENT,1999,91,Management,A++,4.5,3820,247821,329556,70.4,13.0,22.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-nagpur-158.edu.in,True,"State University Nagpur 158 is a premier government institution located in Nagpur, Maharashtra. Established in 1999, it is highly ranked in Management.",kaggle_fallback
State University Bhopal 159,state-university-bhopal-159,Bhopal,Madhya Pradesh,DEEMED,1971,82,Medical,A++,3.6,276,294715,396997,64.0,7.3,42.7,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-bhopal-159.edu.in,True,"State University Bhopal 159 is a premier deemed institution located in Bhopal, Madhya Pradesh. Established in 1971, it is highly ranked in Medical.",kaggle_fallback
Amity University Raipur 160,amity-university-raipur-160,Raipur,Chhattisgarh,PRIVATE,2004,138,Science,A,3.9,3496,330955,480780,91.8,8.3,23.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Science|MBA|B.Sc,https://www.amity-university-raipur-160.edu.in,True,"Amity University Raipur 160 is a premier private institution located in Raipur, Chhattisgarh. Established in 2004, it is highly ranked in Science.",kaggle_fallback
State University Bhopal 161,state-university-bhopal-161,Bhopal,Madhya Pradesh,DEEMED,1969,103,Management,B++,3.7,388,184609,245773,62.6,14.5,15.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-bhopal-161.edu.in,True,"State University Bhopal 161 is a premier deemed institution located in Bhopal, Madhya Pradesh. Established in 1969, it is highly ranked in Management.",kaggle_fallback
Chandigarh Institute of Management 162,chandigarh-institute-of-management-162,Chandigarh,Chandigarh,PRIVATE,1998,132,Management,A++,4.0,4699,131963,195741,65.8,11.9,30.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.chandigarh-institute-of-management-162.edu.in,True,"Chandigarh Institute of Management 162 is a premier private institution located in Chandigarh, Chandigarh. Established in 1998, it is highly ranked in Management.",kaggle_fallback
State University Patna 163,state-university-patna-163,Patna,Bihar,GOVERNMENT,1976,198,Law,A+,4.9,3353,176463,238081,62.0,6.1,24.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.state-university-patna-163.edu.in,True,"State University Patna 163 is a premier government institution located in Patna, Bihar. Established in 1976, it is highly ranked in Law.",kaggle_fallback
Amity University Nagpur 164,amity-university-nagpur-164,Nagpur,Maharashtra,PRIVATE,1957,200,Law,A+,4.1,2259,375422,493360,66.1,12.5,16.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.amity-university-nagpur-164.edu.in,True,"Amity University Nagpur 164 is a premier private institution located in Nagpur, Maharashtra. Established in 1957, it is highly ranked in Law.",kaggle_fallback
Nagpur Institute of Commerce 165,nagpur-institute-of-commerce-165,Nagpur,Maharashtra,PRIVATE,1964,144,Commerce,A+,4.2,2888,281275,354849,93.1,10.3,19.1,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Commerce|MBA|B.Sc,https://www.nagpur-institute-of-commerce-165.edu.in,True,"Nagpur Institute of Commerce 165 is a premier private institution located in Nagpur, Maharashtra. Established in 1964, it is highly ranked in Commerce.",kaggle_fallback
State University Dehradun 166,state-university-dehradun-166,Dehradun,Uttarakhand,GOVERNMENT,1965,88,Medical,A++,4.4,2545,341958,470722,89.0,14.2,27.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-dehradun-166.edu.in,True,"State University Dehradun 166 is a premier government institution located in Dehradun, Uttarakhand. Established in 1965, it is highly ranked in Medical.",kaggle_fallback
State University Bhopal 167,state-university-bhopal-167,Bhopal,Madhya Pradesh,GOVERNMENT,2005,74,Law,A++,3.9,3904,233577,287410,62.3,13.3,22.9,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.state-university-bhopal-167.edu.in,True,"State University Bhopal 167 is a premier government institution located in Bhopal, Madhya Pradesh. Established in 2005, it is highly ranked in Law.",kaggle_fallback
State University Kochi 168,state-university-kochi-168,Kochi,Kerala,DEEMED,1981,71,Management,A,4.5,3440,237974,334264,63.1,4.3,10.8,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.state-university-kochi-168.edu.in,True,"State University Kochi 168 is a premier deemed institution located in Kochi, Kerala. Established in 1981, it is highly ranked in Management.",kaggle_fallback
State University Bhopal 169,state-university-bhopal-169,Bhopal,Madhya Pradesh,DEEMED,1991,151,Medical,A,3.8,4513,434016,549483,82.0,13.8,39.8,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-bhopal-169.edu.in,True,"State University Bhopal 169 is a premier deemed institution located in Bhopal, Madhya Pradesh. Established in 1991, it is highly ranked in Medical.",kaggle_fallback
Patna Institute of Management 170,patna-institute-of-management-170,Patna,Bihar,PRIVATE,2015,84,Management,B++,4.4,3628,220141,297048,66.3,5.8,23.4,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.patna-institute-of-management-170.edu.in,True,"Patna Institute of Management 170 is a premier private institution located in Patna, Bihar. Established in 2015, it is highly ranked in Management.",kaggle_fallback
State University Kochi 171,state-university-kochi-171,Kochi,Kerala,DEEMED,1965,164,Medical,B++,4.6,4346,224559,327362,75.2,4.3,19.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-kochi-171.edu.in,True,"State University Kochi 171 is a premier deemed institution located in Kochi, Kerala. Established in 1965, it is highly ranked in Medical.",kaggle_fallback
State University Pune 172,state-university-pune-172,Pune,Maharashtra,GOVERNMENT,1960,91,Law,A,4.7,1288,355069,486408,91.7,5.7,40.5,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.state-university-pune-172.edu.in,True,"State University Pune 172 is a premier government institution located in Pune, Maharashtra. Established in 1960, it is highly ranked in Law.",kaggle_fallback
State University Kochi 173,state-university-kochi-173,Kochi,Kerala,GOVERNMENT,1989,173,Medical,A,4.1,520,158580,224339,93.3,6.4,21.6,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.state-university-kochi-173.edu.in,True,"State University Kochi 173 is a premier government institution located in Kochi, Kerala. Established in 1989, it is highly ranked in Medical.",kaggle_fallback
State University Pune 174,state-university-pune-174,Pune,Maharashtra,GOVERNMENT,1980,134,Law,B++,4.1,2076,368224,520721,70.5,11.9,35.2,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Law|MBA|B.Sc,https://www.state-university-pune-174.edu.in,True,"State University Pune 174 is a premier government institution located in Pune, Maharashtra. Established in 1980, it is highly ranked in Law.",kaggle_fallback
